archivo,titulo_tesseract,conf_tesseract,titulo_vision,conf_vision,coincide,texto_ocr_tesseract,texto_ocr_vision
011_AP1GczPqGF.jpg,,0.0,Piedras viejas bajo el sol,91.7,no,,Artemio de Valle Arizpe / Piedras viejas / bajo el sol
012_AP1GczPaIx.jpg,CARLOS DE SIGUENZA Y GONGORA,93.0,RELACIONES HISTORICAS,94.7,no,CARLOS DE SIGUENZA Y GONGORA / UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,CARLOS DE SIGUENZA Y GONGORA / RELACIONES / HISTORICAS / PR / UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO
013_AP1GczMy0P.jpg,INTRODUCCION AL ESTUDIO DEL RABINAL ACHI,92.5,INTRODUCCION AL ESTUDIO DEL RABINAL ACHI,98.9,si,René Acuña / INTRODUCCION AL ESTUDIO / DEL RABINAL ACHI / UNAM / INSTITUTO DE INVISTIGACIONES TILOLOGICAS / CENTRO DE ESTUDIOS MAYAS / CUADERNO 12,René Acuña / INTRODUCCION AL ESTUDIO / DEL RABINAL ACHI / UNAM / INSTITUTO DE INVESTIGACIONES FILOLOGICAS / CENTRO DE ESTUDIOS MAYAS / CUADERNO 12
014_AP1GczOJVQ.jpg,rígenes de,89.0,MONOGRAFIAS,97.4,no,Ll / a / A / he / (IU / por / mm» / mm / E di / E» / e Vate- 5 / ID / pa juis felip / Se / IP / 4 / rígenes de / ar / Mm / KARL / la“eo / e YU Ltey / Bx,NON / cui / cui / 1co / MONOGRAFIAS / SERIE la orígenes comunidad luis felipe bate- de / Aprimitiva / 1 en patagonia
015_AP1GczPTck.jpg,México profundo,96.0,México profundo,96.6,si,México profundo / Una ciwilización negada / Guillermo Bonfil Batalla / Consejo Naciona: / to... Yrijalbo / ola / to,Los NOVEN / México profundo / Una civilización negada / Guillermo Bonfil Batalla / Consejo Nacional / Cultura para la y las Artes grijalbo
016_AP1GczMAGH.jpg,LA REVOLUCIÓN MADERISTA EN JALISCO,96.0,LA REVOLUCIÓN MADERISTA EN JALISCO,97.0,si,LA REVOLUCIÓN / MADERISTA / EN JALISCO / ESTA] / LU / d,LA REVOLUCIÓN / MADERISTA / EN JALISCO / José Ramírez Flores / COLECCIÓN DE DOCUMENTOS PARA LA HISTORIA DE JALISCO -I
017_AP1GczN3pS.jpg,TAMMONITAS A LOS CABALLOS La memoria fósil de Durango,76.8,DE LOS AMMONITAS A LOS CABALLOS La memoria fósil de Durango JESÚS F. L'AZALDE,95.4,no,Fo / 1 / a / A r / TAMMONITAS A LOS CABALLOS / La memoria fósil de Durango / JESUS F. LAZALDE / Come.,DE LOS / AMMONITAS A LOS CABALLOS / La memoria fósil de Durango / JESÚS F. L'AZALDE
018_AP1GczNRgM.jpg,los cazadores,96.0,los cazadores,95.6,si,Elman R. Service / los / cazadores,Elman R. Service / los / cazadores / wwwwww / nueva colección labor
019_AP1GczM_mL.jpg,NOTICIA TOPOGRAFICA DE LA INTENDENCIA DE CHIAPAS,95.0,NOTICIA TOPOGRAFICA DE LA INTENDENCIA DE CHIAPAS,98.9,si,NOTICIA TOPOGRAFICA DE / LA INTENDENCIA DE / CHIAPAS / TRANSCRIPCION DE FRANS BLOM / NOTAS Y EDICION DE CARLOS NAVARRETE / SOCIEDAD MEXICANA DE ANTROPOLOGIA / INSTITUTO DE INVESTIGACIONES ANTROPOLOGICAS / UNAM 1981,NOTICIA TOPOGRAFICA DE / LA INTENDENCIA DE / CHIAPAS / AT / TRANSCRIPCION DE FRANS BLOM / NOTAS Y EDICION DE CARLOS NAVARRETE / SOCIEDAD MEXICANA DE ANTROPOLOGIA / INSTITUTO DE INVESTIGACIONES ANTROPOLOGICAS / UNAM 1981
020_AP1GczNE4A.jpg,KAMASUTRA,96.0,KAMASUTRA DE BARRO Sexualidad Precolombina,98.2,no,"Y La Fs Pe / KAMASUTRA / ATT, eats’ €.°5 on: Mina / lj / ombina / EA ai TU z OL J / dad Preco / Ze) / D / os / S / a / u",KAMASUTRA / DE BARRO / Sexualidad Precolombina
021_AP1GczOziU.jpg,,0.0,ALINCHE DE LA HISTORIA AL MITO,98.7,no,COLECCIÓN DIVULGACIÓN,ALINCHE / DE LA HISTORIA AL MITO / FERNANDA NÚÑEZ BECERRA / Quittaubtique / COLECCIÓN DIVULGACIÓN
022_AP1GczPRNn.jpg,KR de Ud,55.0,Aralidad,88.8,no,"Pc ye e / NS SS S ANS / OU Le a / a / “Wie <a Z / SERRE / SSS SS SSS S / ASS SN SS / 3 N NS SEG SN / KR de Ud / Canna Ve ZA Z / OO Te / OLLE LLO ELLIE LT EEL EEL EEE, / KK 4 / S S / a",Walter J.Ong / Aralidad / V escritura / Tecnologias de / la palabra / St
023_AP1GczP3bB.jpg,,0.0,ACIONES,95.9,no,,ACIONES / de Historia y Sociedad / Indice / de los números 1-35 / 1980-1988 / Por / Jorge Zepeda Patterson / EL COLEGIO DE MICHOACAN
024_AP1GczPKV0.jpg,‘a Emile Durkheim aN,67.5,Emile Durkheim LAS FORMAS ELEMENTALES,98.3,no,mz / ‘a Emile Durkheim aN / LAS FORMAS / ELEMENTALES / DIS LA VIDA / RELIGIOSA / Vz Colofón 5,Emile Durkheim / LAS FORMAS / ELEMENTALES / DE LA VIDA / RELIGIOSA / Colofón
025_AP1GczNW3y.jpg,ARTE POPULAR Y ARTESANIAS ARTISTICAS,93.5,ARTE POPULAR Y ARTESANIAS ARTISTICAS,98.3,si,[RIO MARTINEZ PEÑALOZA / Y / a / ARTE / POPULAR / Y ARTESANIAS / ARTISTICAS / EN MEXICO / UN ACERCAMIENTO / [segunda edición / i,FIRIO MARTINEZ PENALOZA / ARTE / POPULAR / Y ARTESANIAS / ARTISTICAS / EN MEXICO / UN ACERCAMIENTO / segunda edición / JUS
026_AP1GczPl0N.jpg,Alfredo Hernández Angeles a e Virginia Isaak Basso Alejandra Massolo Leopoldo Rodrfguez Morales,94.0,Pedro Paz Arellano Coordinador Alfredo Hernández Angeles Virginia Isaak Basso Alejandra Massolo,98.7,no,Pedro Paz Arellano/Coordinador / Alfredo Hernández Angeles a e / Virginia Isaak Basso / Alejandra Massolo / Leopoldo Rodrfguez Morales / E / Ma J / au / La rehabilitación E / de la vivienda: / una alternativa / para la conservación / de los centros históricos / Colección Divulgación / Instituto Nacional de Antropología e Historia,Pedro Paz Arellano Coordinador / Alfredo Hernández Angeles / Virginia Isaak Basso / Alejandra Massolo / Leopoldo Rodríguez Morales / La rehabilitación / de la vivienda / una alternativa / para la conservación / de los centros históricos / Colección Divulgación / Instituto Nacional de Antropología e Historia
027_AP1GczOLAu.jpg,Alfredo Hernández Angeles Virginia Isaak Basso Alejandra Massolo Leopoldo Rodríguez Morales,91.5,Pedro Paz Arellano Coordinador Alfredo Hernández Angeles Virginia Isaak Basso Alejandra Massolo,97.8,no,Pedro Paz Arellano/Coordinador / Alfredo Hernández Angeles / Virginia Isaak Basso / Alejandra Massolo / Leopoldo Rodríguez Morales / La rehabilitación / de la vivienda: / una alternativa / para la conservación / de los centros históricos / Colección Divulgación / Instituto Nacional de Antropología e Historia,Pedro Paz Arellano Coordinador / Alfredo Hernández Angeles / Virginia Isaak Basso / Alejandra Massolo / Leopoldo Rodríguez Morales / La rehabilitación / de la vivienda / una alternativa / para la conservación / de los centros históricos / Colección Divulgación / Instituto Nacional de Antropología e Historia
028_AP1GczMdVZ.jpg,La moderna crítica literaria frances,95.5,La moderna crítica literaria francesa,98.0,no,John K. Simon / La moderna crítica / literaria frances: / De Proust y Valéry al estructuralismo,John K. Simon / La moderna crítica / literaria francesa / De Proust y Valéry al estructuralismo / Lengua y estudios literarios
029_AP1GczN5Vk.jpg,col economia,79.5,javier guerrero algunas consideraciones sobre las economías Primitivas,98.2,no,col economia: / ‘4 / Javier Querero / algunas / consideraciones sobre / las economías Primitivas,col economia / javier guerrero / algunas / consideraciones sobre / las economías Primitivas
030_AP1GczMihn.jpg,ANTROPOLOGIA Y ECONOMIA,96.0,ANTROPOLOGIA Y ECONOMIA,98.9,si,"ANTROPOLOGIA Y ECONOMIA / Textos de Marx, Maine, Morgan, Búcher, / Malinowski During a Jr., Polanyi, / Dalton, Kaplan, Sahlins, Wolf, y Godelier / Compilados y prologados por / Maurice Godelier / EDITORIAL ANAGRAMA",ANTROPOLOGIA Y ECONOMIA / Textos de Marx Maine Morgan Bücher / Malinowski Burling LeClair Jr. Polanyi / Dalton Kaplan Sahlins Wolf y Godeller / Compilados y prologados por / Maurice Godelier / EDITORIAL ANAGRAMA
031_AP1GczOWj5.jpg,,0.0,MILLAN ANTONIO,99.2,no,,MILLAN / ANTONIO / EL SIGNO LINGUISTICO
032_AP1GczN30u.jpg,,0.0,LA ACRÓPOLIS DE CANTONA,96.3,no,,LA ACRÓPOLIS / DE CANTONA / Proceso de desarrollo de su estructura urbana / YADIRA MARTÍNEZ CALLEJA / 008
033_AP1GczOevO.jpg,ETNOLOGIA,81.0,Santa Clara tak del Cobre,93.0,no,ETNOLOGIA,Una Artesanía / con Raíces Prehispánicas en / Santa Clara / tak del Cobre / MARIA LUISA HORCASITAS DE BARROS / 97 / COLECCION / CIENTIFICA / ETNOLOGIA
034_AP1GczMh9q.jpg,,0.0,Metodología del trabajo de conservación de conjuntos históricos,98.3,no,,Metodología del trabajo de / conservación de conjuntos / históricos / eta Nacional de Comarocton Restaura y Museet / 2 / CUADERNO DE TRABAJO / INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA
035_AP1GczMqRm.jpg,"ESTUDIO COMPARATIVO DE DOS ORGANIZACIONES INDUSTRIALES EN EL AREA DE TULA, HGO",96.0,ESTUDIO COMPARATIVO DE DOS ORGANIZACIONES INDUSTRIALES EN EL AREA DE TULA HGO,98.9,no,"Cecilia Lezama Escalante / ESTUDIO COMPARATIVO DE DOS / ORGANIZACIONES INDUSTRIALES / EN EL AREA DE TULA, HGO. / (PROYECTO TULA) / VI. Ms / oe 2) COLECCION / [2377 Pa CIENTIFICA / Vv / Antropologia Social",Cecilia Lezama Escalante / ESTUDIO COMPARATIVO DE DOS / ORGANIZACIONES INDUSTRIALES / EN EL AREA DE TULA HGO / PROYECTO TULA / 52 / COLECCION / CIENTIFICA / Antropología Social
036_AP1GczPtYd.jpg,Bibliografia minima sobre ceramica,94.0,Bibliografía mínima sobre cerámica,98.4,no,ee ea SS / Bibliografia minima sobre / ceramica / Gonzalo López Cervantes / Colección Fuentes / INSTITUTE / NACIONAL DI ANTROPOLOGIA HISTORIA,Bibliografía mínima sobre / cerámica / Gonzalo López Cervantes / Colección Fuentes / INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA
037_AP1GczN7qk.jpg,ARQUEOLOGIA Y ARQUITECTURA EN EL EX-CONVENTO DE SAN JERONIMO,93.0,ARQUEOLOGIA Y ARQUITECTURA EN EL EX CONVENTO DE SAN JERONIMO,98.4,no,aos) / r / te / ARQUEOLOGIA Y ARQUITECTURA / EN EL EX-CONVENTO / DE SAN JERONIMO / Ramón Carrasco Vargas / COLECCION CIENTIFICA,ARQUEOLOGIA Y ARQUITECTURA / EN EL EX CONVENTO / DE SAN JERONIMO / Ramón Carrasco Vargas / COLECCION CIENTIFICA
038_AP1GczMEmm.jpg,"EVIDENCIAS ARQUEOLOGICAS DE LA IMPORTACION DE CERAMICA EN MEXICO, CON BASE EN LOS MATERIALES DEL EX-CONVENTO",94.0,EVIDENCIAS ARQUEOLOGICAS DE LA IMPORTACION DE CERAMICA EN MEXICO CON BASE EN LOS MATERIALES DEL EX CONVENTO,98.6,no,"EVIDENCIAS ARQUEOLOGICAS / DE LA IMPORTACION DE CERAMICA / EN MEXICO, CON BASE EN LOS / MATERIALES DEL EX-CONVENTO / DE SAN JERONIMO / Patricia Fournier García / COLECCIÓN CIENTIFICA / NS me / uu",EVIDENCIAS ARQUEOLOGICAS / DE LA IMPORTACION DE CERAMICA / EN MEXICO CON BASE EN LOS / MATERIALES DEL EX CONVENTO / DE SAN JERONIMO / Patricia Fournier García / COLECCION CIENTIFICA
039_AP1GczMfpO.jpg,"HUANDACAREO: LUGAR DE JUICIOS, TRIBUNAL",95.0,HUANDACAREO LUGAR DE JUICIOS TRIBUNAL,98.7,no,"HUANDACAREO: LUGAR / DE JUICIOS, TRIBUNAL / Angelina Macías Goytia",HUANDACAREO LUGAR / DE JUICIOS TRIBUNAL / Angelina Macías Goytia
040_AP1GczNZyS.jpg,Caminos terrestres al cielo,96.0,AL OKINACION,93.5,no,Caminos terrestres / al cielo / Contribución al estudio / del fenómeno romero / E / a a ORIN] Clon / SANTUAR A / Beatriz Barba de Piña Chán / Coordinadora,Caminos terrestres / al cielo / Contribución al estudio / del fenómeno romero / AL OKINACION / SANTUARIO / DE LA VIRGEN DE / GUADALUPE / Beatriz Barba de Piña Chán / Coordinadora
041_AP1GczPId6.jpg,Homenaje d Doris Heyden,91.5,Chalchibuite Homenaje a Doris Heyden,97.1,no,Chalchibhuite. / Homenaje d / Doris Heyden / Ma. de Jesús Rodríguez-Shadow / Beatriz Barba de Piña Chán / Coordinadoras / ae,Chalchibuite / Homenaje a / Doris Heyden / Ma de Jesús Rodríguez Shadow / Beatriz Barba de Piña Chán / Coordinadoras
042_AP1GczNzDQ.jpg,,0.0,Patrimonio histórico y cultural de México,97.9,no,,Patrimonio histórico / y cultural de México / IV Semana cultural / de la Dirección de Etnología / y Antropología Social / Ma Elena Morales Anduaga / Francisco J. Zamora Quintana / coordinadores / COLECCIÓN CIENTÍFICA
043_AP1GczPsl6.jpg,,0.0,Las patas limpias,98.7,no,INSTITUTO NACIONAL DE ANTROPOLOGÍA E HISTORIA,Las patas limpias / Mitos otomies del sur de Querétaro / Marcelo Abramo / REGIONES DE MÉXICO / INSTITUTO NACIONAL DE ANTROPOLOGÍA E HISTORIA
044_AP1GczM4jN.jpg,"LA VERBALIZACIÓN DE LO SAGRADO EL TERRITORIO SAGRADO NHO-NHO DE SOMBRERETE, CADEREYTA, QUERÉTARO",94.5,LA VERBALIZACIÓN DE LO SAGRADO EL TERRITORIO SAGRADO NHÖ ÑHÖ DE SOMBRERETE CADEREYTA QUERÉTARO,97.4,no,"LA VERBALIZACIÓN DE LO SAGRADO / EL TERRITORIO SAGRADO NHO-NHO / DE SOMBRERETE, / CADEREYTA, QUERÉTARO / Á / a",LA VERBALIZACIÓN DE LO SAGRADO / EL TERRITORIO SAGRADO NHÖ ÑHÖ / DE SOMBRERETE / CADEREYTA QUERÉTARO / LUIS ENRIQUE FERRO VIDAL
045_AP1GczPgTC.jpg,CEM Cc A ALS,72.0,Xalisco la voz de un pueblo NOC en el siglo XVI,97.9,no,"E / MA / y / VAAL, / inmi / CA LEVAS / TAGIL / e CAMECHI qe / o. us / trova. e / oh a / Calvo, Eustaquid Celestino, Magdalena Gómez, / me / Jean.Meyer, Ricardo Xochitemol / TAE v o VR 1 [om] / f / d / CEM Cc A ALS / NI CIESAS!- / atrecho de egalenes ve",AVA CAL / CALICVAS / TA TAGIL / CAPASCHI / AN / TEBUCHICH / MECHT / MALISCO TOVA / MEGVACAN N A I / Xalisco / la voz de un pueblo / NOC en el siglo XVI / Thomas Calvo Eustaquio Celestino Magdalena Gómez / Jean Meyer Ricardo Xochitemol / P R C R N I / CIESAS CEMCA / eftreebo de magallanes
046_AP1GczMPQx.jpg,,0.0,Catharine Good Eshelman ENDO LA LUCHA,98.7,no,,Catharine Good Eshelman / ENDO LA LUCHA / io nahuas de Guerrero / wwwww / wwwwwwwww wwwwwww
047_AP1GczM0LL.jpg,PARENTESCO Y ECONOMÍA EN UNA SOCIEDAD NAHUA,96.0,Cyp 88,79.7,no,PARENTESCO Y / ECONOMÍA EN / UNA SOCIEDAD NAHUA,PARENTESCO Y / ECONOMÍA EN / UNA SOCIEDAD NAHUA / Cyp 88
048_AP1GczNJHk.jpg,William j Mi Gee,89.0,William J. McGee,97.5,no,"William j Mi Gee / Meta... LOS SERIS / 1 UU y Sonora, México / ly / a / mi / 1 N / NV / INSTITUTO NACIONAL INDIGENISTA / a”",William J. McGee / LOS SERIS / Sonora México / INSTITUTO NACIONAL INDIGENISTA
